TestCase,Bash_High,Bash_Medium,Bash_Low,Rust_High,Rust_Medium,Rust_Low,Match
chalk-debug-attack,6,7,0,6,7,0,✅
clean-project,0,0,0,0,0,0,✅
common-crypto-libs,0,1,0,0,1,0,✅
comprehensive-test,0,0,0,0,0,0,✅
debug-js,0,0,0,0,0,0,✅
edge-case-project,0,0,0,0,0,0,✅
false-positive-project,0,1,0,0,1,0,✅
infected-lockfile,0,2,0,0,2,0,✅
infected-lockfile-pnpm,0,1,0,0,1,0,✅
infected-project,8,16,2,8,16,2,✅
legitimate-crypto,0,1,0,0,1,0,✅
legitimate-security-project,0,3,0,0,3,0,✅
lockfile-comprehensive-test,1,1,0,1,1,0,✅
lockfile-compromised,1,1,0,1,1,0,✅
lockfile-false-positive,0,0,0,0,0,0,✅
lockfile-safe-versions,0,0,0,0,0,0,✅
mixed-project,0,1,1,0,1,1,✅
multi-hash-detection,0,0,0,0,0,0,✅
namespace-warning,0,0,0,0,0,0,✅
network-exfiltration-project,1,2,0,1,2,0,✅
no-lockfile-test,0,2,0,0,2,0,✅
semver-matching,0,19,2,0,19,2,✅
typosquatting-project,0,0,0,0,0,0,✅
xmlhttp-legitimate,0,0,0,0,0,0,✅
xmlhttp-malicious,2,3,0,2,3,0,✅
